127.0.0.1 - - [08/Mar/2023:19:10:35 +0900] "GET / HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/index.jsp HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/slicknav.css HTTP/1.1" 200 5732
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/flaticon.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/progressbar_barfiller.css HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/gijgo.css HTTP/1.1" 200 57518
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/themify-icons.css HTTP/1.1" 200 16452
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/fontawesome-all.min.css HTTP/1.1" 200 34680
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/animated-headline.css HTTP/1.1" 200 27021
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/animate.min.css HTTP/1.1" 200 56048
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/css/style.css HTTP/1.1" 200 93041
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8636
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/wow.min.js HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/animated.headline.js HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.nice-select.min.js HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/gijgo.min.js HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.sticky.js HTTP/1.1" 200 10085
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.barfiller.js HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.counterup.min.js HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.countdown.min.js HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/hover-direction-snake.min.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.validate.min.js HTTP/1.1" 200 21068
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.form.js HTTP/1.1" 200 41095
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/mail-script.js HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/contact.js HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/plugins.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/js/main.js HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/logo/logo.png HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/logo/loder.png HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/services1.png HTTP/1.1" 200 178745
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/services2.png HTTP/1.1" 200 195829
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/services3.png HTTP/1.1" 200 252938
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/case1.png HTTP/1.1" 200 144691
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/case2.png HTTP/1.1" 200 164596
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/case3.png HTTP/1.1" 200 251953
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/logo/logo2_footer.png HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/home-blog2.png HTTP/1.1" 200 447127
